"","lambda","q","n","W","p_val","skewness","kurt","bias"
"47",0,2,185,0.999758913218049,0.868068622993111,0.0436136732505522,3.03007691863662,0.000702000439930576
"48",0,2,195,0.999428111354074,0.125246084945994,-0.0174112534728138,3.14610448834531,-0.00108271121017943
"49",0,10,1,0.999446065506479,0.143334125561362,-0.0112008194777257,3.14374752678337,-0.00955823040360539
"50",0,10,2,0.999408942288057,0.108292118566961,-0.0389361932867059,3.14977997550276,-0.0105553063846063
"51",0,10,3,0.999123406215883,0.0116096627117817,0.0427081057092126,3.24288241957577,0.0108885433171004
"52",0,10,4,0.999672882514699,0.624227320123894,-0.0383552708311914,3.0415166043122,0.00197698768556941
"53",0,10,5,0.999372460277459,0.0818380201509083,0.0348074465414439,3.18750786987249,0.00390069950728823
"54",0,10,6,0.99968690736538,0.666976982575649,0.0464138000543707,3.05247809684326,-0.00571086195162015
"55",0,10,7,0.999585039547026,0.379223584739028,0.0197312187741556,3.00757685140036,0.00490254497557276
"56",0,10,8,0.999608117054513,0.437471566669495,0.0334355077611761,3.01487419521013,0.000691829618956866
"57",0,10,9,0.999673733925139,0.626819189848615,-0.0169746854259239,3.05226905119553,0.00259958678249992
"58",0,10,10,0.999508725978488,0.226483241522282,0.040608108593792,2.99973845800591,0.00091428678179156
"59",0,10,11,0.999666187980716,0.603896736014539,-0.028447274605213,3.08994270078376,0.00905919317000301
"60",0,10,12,0.999591449036895,0.394859317192815,-0.0446589182573931,3.05293828985363,0.00562705262099446
"61",0,10,13,0.999723920088792,0.776876357874117,-0.0464410888506481,3.03352758445289,0.00169234992665165
"62",0,10,14,0.999505893768642,0.221968518262147,-0.00941324201345478,3.10390846932952,-0.00298125738225005
"63",0,10,15,0.999793392478908,0.936028628893279,0.00490937181671755,2.9935204715477,0.00358914995553595
"64",0,10,16,0.999671585992415,0.620282669784365,0.0283764102762271,3.00702488405487,-0.000332642583984244
"65",0,10,17,0.999411170853929,0.11014637161971,0.0051144448730561,3.12868596502285,-0.00278004589268645
"66",0,10,18,0.999657280401237,0.57704827367294,-0.0297683849198576,3.04375899103061,-0.00845811607222847
"67",0,10,19,0.999571916047658,0.348557612053924,0.0594106916052016,2.96478357995275,-0.00194343592201684
"68",0,10,20,0.999555955178767,0.313743384794477,-0.0610727978884827,2.97143743870254,-0.00180199844236003
"69",0,10,21,0.999355847095224,0.0719564949048974,-0.0826847079607829,2.99190623123928,-0.00278326381372109
"70",0,10,22,0.999692214309273,0.683118418540294,0.0324865792663909,2.96688773959373,-0.00599978366968901
"71",0,10,23,0.99856172665397,0.000179154872349435,0.0441393014097158,3.33578560412836,0.00393061425418907
"72",0,10,24,0.999388893826493,0.0928866958862337,-0.0537988190425268,3.14966479269063,-7.46700801445424e-05
"73",0,10,25,0.99965959730447,0.584003594275422,0.0188265258760332,2.96968178426519,0.000359248965558016
"74",0,10,26,0.999719222824673,0.763442178189408,0.0265006635998653,3.01490839454544,-0.00063851334026022
"75",0,10,27,0.99938878377753,0.0928081795613063,0.0685784525134553,3.01067592892303,-0.000865488857643452
"76",0,10,28,0.999380578338589,0.0871288650300665,-0.07062124185818,2.99948528464714,-0.0031379993478977
"77",0,10,29,0.999413343097241,0.111982463580579,0.0489291250698856,3.03110869047299,-0.00210268515507979
"78",0,10,30,0.99950030638253,0.213287490238747,-0.0502517912330396,3.03948897084713,-0.00427521264081803
"79",0,10,35,0.999556399852715,0.314676265210814,0.0429104487289007,3.0898912935406,-0.00656743506655861
"80",0,10,45,0.999607272872271,0.435247793826768,-0.0141157740747827,3.11525315262622,0.000580248133739626
"81",0,10,55,0.999587638920514,0.385513198380562,-0.024486416059317,2.87578638704186,-0.000282046742894649
"82",0,10,65,0.999736094139746,0.810574985525363,-0.00242846382041802,2.94344012639197,-0.00476953827414601
"83",0,10,75,0.999769136848648,0.890839453588573,0.00557675275038087,2.96467304824332,-0.00123253848223874
"84",0,10,85,0.999784743863322,0.921416791408227,-0.0154395276438238,2.90616352516234,-0.00209952079842046
"85",0,10,95,0.99964922301907,0.55305138264349,0.022472425262503,2.95653452825208,-0.000995609943080072
"86",0,10,105,0.999563326920719,0.32948273835911,-0.0090193770824122,3.04219493494893,-0.00243118245742383
"87",0,10,115,0.999805756621475,0.953926665687501,0.00569410594137188,3.01131369113166,0.000547207224700169
"88",0,10,125,0.999346365514035,0.066844273869463,0.0602698124537468,2.93536052603294,0.000813821529215918
"89",0,10,135,0.999550689248477,0.302857135424018,0.00104588453631326,2.94863914076525,0.00161215108514972
"90",0,10,145,0.999607437158515,0.435680029162009,-0.0568994384370171,3.03951115621234,-0.000573964340417179
"91",0,10,155,0.999772830542251,0.898548582581445,0.0416458212855197,3.06542801675648,0.00176531334052012
"92",0,10,165,0.999322765808941,0.0556048549953749,0.0614697519219455,2.89009310062122,-0.000443579668133179
"93",0,10,175,0.999660119503102,0.585574203576027,-0.00237221611091961,3.03336402663875,-0.0019224497180051
"94",0,10,185,0.999365231556061,0.0773875087546202,0.080750146452638,2.92867452626904,0.000471305812861048
