lambda,q,n,W,p_val
0.1,10,27,0.999671440232987,0.619839382528411
0.1,10,28,0.999563588544367,0.330052058429383
0.1,10,29,0.99980228628376,0.949259646070269
0.1,10,30,0.998779598462219,0.00085046163436457
0.1,100,1,0.997846897318692,1.84902029809995e-06
0.1,100,2,0.999525439954916,0.254737183832399
0.1,100,3,0.999216808306526,0.0241803312033886
0.1,100,4,0.999314202070102,0.0520013710464909
0.1,100,5,0.999278716251584,0.0393632511615603
0.1,100,6,0.999376443792527,0.0843945536098622
0.1,100,7,0.999077538981627,0.0081166542306062
0.1,100,8,0.998535130341188,0.000148958946163345
0.1,100,9,0.999587290241721,0.384665418257808
0.1,100,10,0.999620165949357,0.469931199990526
0.1,100,11,0.999335397243418,0.0613695313285662
0.1,100,12,0.999396331723632,0.0983423259664971
0.1,100,13,0.999121193788594,0.0114104263337266
0.1,100,14,0.999721751120251,0.770699631846293
